# Area, eccentricity, mean_intensity, solidity, circularity, label
 28279.000,     0.160,     1.000,     0.921,     0.000
 34534.000,     0.231,     1.000,     0.970,     0.000
 35986.000,     0.369,     1.000,     0.899,     0.000
 16702.000,     0.467,     1.000,     0.890,     0.000
 89600.000,     0.875,     1.000,     0.647,     1.000
 78037.000,     0.944,     1.000,     0.578,     1.000
 78037.000,     0.944,     1.000,     0.577,     1.000
 92686.000,     0.904,     1.000,     0.699,     1.000
    20.000,     0.612,     1.000,     1.000,     1.000
 29232.000,     0.986,     1.000,     0.472,     2.000
 31375.000,     0.986,     1.000,     0.507,     2.000
 28520.000,     0.985,     1.000,     0.461,     2.000
 28337.000,     0.987,     1.000,     0.459,     2.000
